State,LossPerspective,EPType,Peril,LOB,RP,Loss
US,GR,OEP,TC,Total,25,290189.0
US,GR,OEP,TC,Total,50,414304.0
US,GR,OEP,TC,Total,100,562566.0
US,GR,OEP,TC,Total,200,718496.0
US,GR,OEP,TC,Total,250,778310.0
US,GR,OEP,TC,Total,500,957560.0
US,GR,OEP,TC,Total,1000,1141544.0
US,GU,AEP,IF,Commercial,5,1969.0
US,GU,AEP,IF,Commercial,10,3057.0
US,GU,AEP,IF,Commercial,20,3987.0
US,GU,AEP,IF,Commercial,25,4422.0
US,GU,AEP,IF,Commercial,50,5470.0
US,GU,AEP,IF,Commercial,100,6762.0
US,GU,AEP,IF,Commercial,200,7921.0
US,GU,AEP,IF,Commercial,250,8275.0
US,GU,AEP,IF,Commercial,500,9348.0
US,GU,AEP,IF,Commercial,1000,10426.0
US,GU,AEP,IF,Personal,5,2719.0
US,GU,AEP,IF,Personal,10,4163.0
US,GU,AEP,IF,Personal,20,5574.0
US,GU,AEP,IF,Personal,25,5993.0
US,GU,AEP,IF,Personal,50,7698.0
US,GU,AEP,IF,Personal,100,9244.0
US,GU,AEP,IF,Personal,200,10721.0
US,GU,AEP,IF,Personal,250,11312.0
US,GU,AEP,IF,Personal,500,12968.0
US,GU,AEP,IF,Personal,1000,15050.0
US,GU,AEP,IF,Total,5,4687.0
US,GU,AEP,IF,Total,10,7220.0
US,GU,AEP,IF,Total,20,9559.0
US,GU,AEP,IF,Total,25,10415.0
US,GU,AEP,IF,Total,50,13168.0
US,GU,AEP,IF,Total,100,16005.0
US,GU,AEP,IF,Total,200,18643.0
US,GU,AEP,IF,Total,250,19582.0
US,GU,AEP,IF,Total,500,22316.0
US,GU,AEP,IF,Total,1000,25478.0
US,GU,AEP,PF,Commercial,5,7596.0
US,GU,AEP,PF,Commercial,10,12181.0
US,GU,AEP,PF,Commercial,20,16928.0
US,GU,AEP,PF,Commercial,25,18849.0
US,GU,AEP,PF,Commercial,50,24070.0
US,GU,AEP,PF,Commercial,100,30319.0
US,GU,AEP,PF,Commercial,200,35617.0
US,GU,AEP,PF,Commercial,250,38396.0
US,GU,AEP,PF,Commercial,500,43352.0
US,GU,AEP,PF,Commercial,1000,50637.0
US,GU,AEP,PF,Personal,5,10060.0
US,GU,AEP,PF,Personal,10,16010.0
US,GU,AEP,PF,Personal,20,22214.0
US,GU,AEP,PF,Personal,25,24660.0
US,GU,AEP,PF,Personal,50,31719.0
US,GU,AEP,PF,Personal,100,39549.0
US,GU,AEP,PF,Personal,200,47918.0
US,GU,AEP,PF,Personal,250,50062.0
US,GU,AEP,PF,Personal,500,57692.0
US,GU,AEP,PF,Personal,1000,66171.0
US,GU,AEP,PF,Total,5,17658.0
US,GU,AEP,PF,Total,10,28192.0
US,GU,AEP,PF,Total,20,39141.0
US,GU,AEP,PF,Total,25,43509.0
US,GU,AEP,PF,Total,50,55791.0
US,GU,AEP,PF,Total,100,69868.0
US,GU,AEP,PF,Total,200,83533.0
US,GU,AEP,PF,Total,250,88459.0
US,GU,AEP,PF,Total,500,101044.0
US,GU,AEP,PF,Total,1000,116810.0
US,GU,AEP,SU,Commercial,5,19860.0
US,GU,AEP,SU,Commercial,10,35866.0
US,GU,AEP,SU,Commercial,20,55967.0
US,GU,AEP,SU,Commercial,25,61139.0
US,GU,AEP,SU,Commercial,50,86035.0
US,GU,AEP,SU,Commercial,100,111714.0
US,GU,AEP,SU,Commercial,200,142341.0
US,GU,AEP,SU,Commercial,250,154348.0
US,GU,AEP,SU,Commercial,500,184378.0
US,GU,AEP,SU,Commercial,1000,215473.0
US,GU,AEP,SU,Personal,5,26842.0
US,GU,AEP,SU,Personal,10,48523.0
US,GU,AEP,SU,Personal,20,73501.0
US,GU,AEP,SU,Personal,25,83875.0
US,GU,AEP,SU,Personal,50,118817.0
US,GU,AEP,SU,Personal,100,150959.0
US,GU,AEP,SU,Personal,200,193134.0
US,GU,AEP,SU,Personal,250,201590.0
US,GU,AEP,SU,Personal,500,248363.0
US,GU,AEP,SU,Personal,1000,298710.0
US,GU,AEP,SU,Total,5,46701.0
US,GU,AEP,SU,Total,10,84387.0
US,GU,AEP,SU,Total,20,129471.0
US,GU,AEP,SU,Total,25,145016.0
US,GU,AEP,SU,Total,50,204852.0
US,GU,AEP,SU,Total,100,262671.0
US,GU,AEP,SU,Total,200,335475.0
US,GU,AEP,SU,Total,250,355939.0
US,GU,AEP,SU,Total,500,432739.0
US,GU,AEP,SU,Total,1000,514184.0
US,GU,AEP,TC,Commercial,5,49578.0
US,GU,AEP,TC,Commercial,10,92795.0
US,GU,AEP,TC,Commercial,20,153718.0
US,GU,AEP,TC,Commercial,25,174595.0
US,GU,AEP,TC,Commercial,50,249661.0
US,GU,AEP,TC,Commercial,100,330984.0
US,GU,AEP,TC,Commercial,200,424727.0
US,GU,AEP,TC,Commercial,250,457867.0
US,GU,AEP,TC,Commercial,500,568469.0
US,GU,AEP,TC,Commercial,1000,703517.0
US,GU,AEP,TC,Personal,5,71166.0
US,GU,AEP,TC,Personal,10,136479.0
US,GU,AEP,TC,Personal,20,224130.0
US,GU,AEP,TC,Personal,25,249412.0
US,GU,AEP,TC,Personal,50,360999.0
US,GU,AEP,TC,Personal,100,487532.0
US,GU,AEP,TC,Personal,200,616285.0
US,GU,AEP,TC,Personal,250,649406.0
US,GU,AEP,TC,Personal,500,822785.0
US,GU,AEP,TC,Personal,1000,990455.0
US,GU,AEP,TC,Total,5,120746.0
US,GU,AEP,TC,Total,10,229275.0
US,GU,AEP,TC,Total,20,377848.0
US,GU,AEP,TC,Total,25,424008.0
US,GU,AEP,TC,Total,50,610661.0
US,GU,AEP,TC,Total,100,818517.0
US,GU,AEP,TC,Total,200,1041011.0
US,GU,AEP,TC,Total,250,1107272.0
US,GU,AEP,TC,Total,500,1391254.0
US,GU,AEP,TC,Total,1000,1693975.0
US,GU,OEP,IF,Commercial,5,1788.0
US,GU,OEP,IF,Commercial,10,2737.0
US,GU,OEP,IF,Commercial,20,3669.0
US,GU,OEP,IF,Commercial,25,3951.0
US,GU,OEP,IF,Commercial,50,4997.0
US,GU,OEP,IF,Commercial,100,5856.0
US,GU,OEP,IF,Commercial,200,6861.0
US,GU,OEP,IF,Commercial,250,7292.0
US,GU,OEP,IF,Commercial,500,8482.0
US,GU,OEP,IF,Commercial,1000,9606.0
US,GU,OEP,IF,Personal,5,2423.0
US,GU,OEP,IF,Personal,10,3669.0
US,GU,OEP,IF,Personal,20,4955.0
US,GU,OEP,IF,Personal,25,5415.0
US,GU,OEP,IF,Personal,50,6800.0
US,GU,OEP,IF,Personal,100,8218.0
US,GU,OEP,IF,Personal,200,9529.0
US,GU,OEP,IF,Personal,250,10066.0
US,GU,OEP,IF,Personal,500,11690.0
US,GU,OEP,IF,Personal,1000,13112.0
US,GU,OEP,IF,Total,5,4212.0
US,GU,OEP,IF,Total,10,6407.0
US,GU,OEP,IF,Total,20,8625.0
US,GU,OEP,IF,Total,25,9362.0
US,GU,OEP,IF,Total,50,11797.0
US,GU,OEP,IF,Total,100,14073.0
US,GU,OEP,IF,Total,200,16391.0
US,GU,OEP,IF,Total,250,17358.0
US,GU,OEP,IF,Total,500,20171.0
US,GU,OEP,IF,Total,1000,22720.0
US,GU,OEP,PF,Commercial,5,6674.0
US,GU,OEP,PF,Commercial,10,10975.0
US,GU,OEP,PF,Commercial,20,15012.0
US,GU,OEP,PF,Commercial,25,16323.0
US,GU,OEP,PF,Commercial,50,21278.0
US,GU,OEP,PF,Commercial,100,25967.0
US,GU,OEP,PF,Commercial,200,31308.0
US,GU,OEP,PF,Commercial,250,33171.0
US,GU,OEP,PF,Commercial,500,39702.0
US,GU,OEP,PF,Commercial,1000,44201.0
US,GU,OEP,PF,Personal,5,8903.0
US,GU,OEP,PF,Personal,10,14300.0
US,GU,OEP,PF,Personal,20,19902.0
US,GU,OEP,PF,Personal,25,21621.0
US,GU,OEP,PF,Personal,50,28341.0
US,GU,OEP,PF,Personal,100,35427.0
US,GU,OEP,PF,Personal,200,42254.0
US,GU,OEP,PF,Personal,250,44479.0
US,GU,OEP,PF,Personal,500,52299.0
US,GU,OEP,PF,Personal,1000,60113.0
US,GU,OEP,PF,Total,5,15577.0
US,GU,OEP,PF,Total,10,25276.0
US,GU,OEP,PF,Total,20,34916.0
US,GU,OEP,PF,Total,25,37944.0
US,GU,OEP,PF,Total,50,49617.0
US,GU,OEP,PF,Total,100,61393.0
US,GU,OEP,PF,Total,200,73563.0
US,GU,OEP,PF,Total,250,77652.0
US,GU,OEP,PF,Total,500,92002.0
US,GU,OEP,PF,Total,1000,104315.0
US,GU,OEP,SU,Commercial,5,17931.0
US,GU,OEP,SU,Commercial,10,31184.0
US,GU,OEP,SU,Commercial,20,48829.0
US,GU,OEP,SU,Commercial,25,56048.0
US,GU,OEP,SU,Commercial,50,75942.0
US,GU,OEP,SU,Commercial,100,102034.0
US,GU,OEP,SU,Commercial,200,127107.0
US,GU,OEP,SU,Commercial,250,133149.0
US,GU,OEP,SU,Commercial,500,162597.0
US,GU,OEP,SU,Commercial,1000,195708.0
US,GU,OEP,SU,Personal,5,24418.0
US,GU,OEP,SU,Personal,10,43946.0
US,GU,OEP,SU,Personal,20,66614.0
US,GU,OEP,SU,Personal,25,73654.0
US,GU,OEP,SU,Personal,50,101670.0
US,GU,OEP,SU,Personal,100,137746.0
US,GU,OEP,SU,Personal,200,169743.0
US,GU,OEP,SU,Personal,250,182858.0
US,GU,OEP,SU,Personal,500,220504.0
US,GU,OEP,SU,Personal,1000,263162.0
US,GU,OEP,SU,Total,5,42350.0
US,GU,OEP,SU,Total,10,75130.0
US,GU,OEP,SU,Total,20,115440.0
US,GU,OEP,SU,Total,25,129700.0
US,GU,OEP,SU,Total,50,177613.0
US,GU,OEP,SU,Total,100,239781.0
US,GU,OEP,SU,Total,200,296850.0
US,GU,OEP,SU,Total,250,316008.0
US,GU,OEP,SU,Total,500,383102.0
US,GU,OEP,SU,Total,1000,458869.0
US,GU,OEP,TC,Commercial,5,45406.0
US,GU,OEP,TC,Commercial,10,86113.0
US,GU,OEP,TC,Commercial,20,135594.0
US,GU,OEP,TC,Commercial,25,157673.0
US,GU,OEP,TC,Commercial,50,221509.0
US,GU,OEP,TC,Commercial,100,288925.0
US,GU,OEP,TC,Commercial,200,379082.0
US,GU,OEP,TC,Commercial,250,409625.0
US,GU,OEP,TC,Commercial,500,497699.0
US,GU,OEP,TC,Commercial,1000,623967.0
US,GU,OEP,TC,Personal,5,64109.0
US,GU,OEP,TC,Personal,10,124027.0
US,GU,OEP,TC,Personal,20,196584.0
US,GU,OEP,TC,Personal,25,219735.0
US,GU,OEP,TC,Personal,50,320132.0
US,GU,OEP,TC,Personal,100,427367.0
US,GU,OEP,TC,Personal,200,540638.0
US,GU,OEP,TC,Personal,250,602271.0
US,GU,OEP,TC,Personal,500,736389.0
US,GU,OEP,TC,Personal,1000,893861.0
US,GU,OEP,TC,Total,5,109516.0
US,GU,OEP,TC,Total,10,210139.0
US,GU,OEP,TC,Total,20,332180.0
US,GU,OEP,TC,Total,25,377408.0
US,GU,OEP,TC,Total,50,541643.0
US,GU,OEP,TC,Total,100,716291.0
US,GU,OEP,TC,Total,200,919720.0
US,GU,OEP,TC,Total,250,1011896.0
US,GU,OEP,TC,Total,500,1234090.0
US,GU,OEP,TC,Total,1000,1517830.0
FL,GU,OEP,TC,Commercial,5,11990.0
FL,GU,OEP,TC,Personal,5,19029.0
FL,GU,OEP,TC,Total,5,31019.0
FL,GU,OEP,TC,Commercial,10,23422.0
FL,GU,OEP,TC,Personal,10,37535.0
FL,GU,OEP,TC,Total,10,60957.0
FL,GU,OEP,TC,Commercial,20,36154.0
FL,GU,OEP,TC,Personal,20,56913.0
FL,GU,OEP,TC,Total,20,93067.0
FL,GU,OEP,TC,Commercial,25,42700.0
FL,GU,OEP,TC,Personal,25,65904.0
FL,GU,OEP,TC,Total,25,108604.0
FL,GU,OEP,TC,Commercial,50,61782.0
FL,GU,OEP,TC,Personal,50,93413.0
FL,GU,OEP,TC,Total,50,155195.0
FL,GU,OEP,TC,Commercial,100,76404.0
FL,GU,OEP,TC,Personal,100,132884.0
FL,GU,OEP,TC,Total,100,209288.0
FL,GU,OEP,TC,Commercial,200,98650.0
FL,GU,OEP,TC,Personal,200,160241.0
FL,GU,OEP,TC,Total,200,258891.0
FL,GU,OEP,TC,Commercial,250,111165.0
FL,GU,OEP,TC,Personal,250,184990.0
FL,GU,OEP,TC,Total,250,296155.0
FL,GU,OEP,TC,Commercial,500,132048.0
FL,GU,OEP,TC,Personal,500,216426.0
FL,GU,OEP,TC,Total,500,348474.0
FL,GU,OEP,TC,Commercial,1000,169303.0
FL,GU,OEP,TC,Personal,1000,279454.0
FL,GU,OEP,TC,Total,1000,448757.0
FL,GU,AEP,TC,Commercial,5,13404.0
FL,GU,AEP,TC,Personal,5,20939.0
FL,GU,AEP,TC,Total,5,34344.0
FL,GU,AEP,TC,Commercial,10,24296.0
FL,GU,AEP,TC,Personal,10,40252.0
FL,GU,AEP,TC,Total,10,64548.0
FL,GU,AEP,TC,Commercial,20,39501.0
FL,GU,AEP,TC,Personal,20,67617.0
FL,GU,AEP,TC,Total,20,107117.0
FL,GU,AEP,TC,Commercial,25,44907.0
FL,GU,AEP,TC,Personal,25,75656.0
FL,GU,AEP,TC,Total,25,120563.0
FL,GU,AEP,TC,Commercial,50,67588.0
FL,GU,AEP,TC,Personal,50,108276.0
FL,GU,AEP,TC,Total,50,175864.0
FL,GU,AEP,TC,Commercial,100,86257.0
FL,GU,AEP,TC,Personal,100,148441.0
FL,GU,AEP,TC,Total,100,234698.0
FL,GU,AEP,TC,Commercial,200,116922.0
FL,GU,AEP,TC,Personal,200,189848.0
FL,GU,AEP,TC,Total,200,306770.0
FL,GU,AEP,TC,Commercial,250,118731.0
FL,GU,AEP,TC,Personal,250,192195.0
FL,GU,AEP,TC,Total,250,310926.0
FL,GU,AEP,TC,Commercial,500,159045.0
FL,GU,AEP,TC,Personal,500,244553.0
FL,GU,AEP,TC,Total,500,403598.0
FL,GU,AEP,TC,Commercial,1000,180828.0
FL,GU,AEP,TC,Personal,1000,298545.0
FL,GU,AEP,TC,Total,1000,479374.0
FL,GU,OEP,SU,Commercial,5,4802.0
FL,GU,OEP,SU,Personal,5,6274.0
FL,GU,OEP,SU,Total,5,11076.0
FL,GU,OEP,SU,Commercial,10,8350.0
FL,GU,OEP,SU,Personal,10,11296.0
FL,GU,OEP,SU,Total,10,19646.0
FL,GU,OEP,SU,Commercial,20,12546.0
FL,GU,OEP,SU,Personal,20,16819.0
FL,GU,OEP,SU,Total,20,29365.0
FL,GU,OEP,SU,Commercial,25,15028.0
FL,GU,OEP,SU,Personal,25,18090.0
FL,GU,OEP,SU,Total,25,33118.0
FL,GU,OEP,SU,Commercial,50,19723.0
FL,GU,OEP,SU,Personal,50,25770.0
FL,GU,OEP,SU,Total,50,45493.0
FL,GU,OEP,SU,Commercial,100,28026.0
FL,GU,OEP,SU,Personal,100,34331.0
FL,GU,OEP,SU,Total,100,62357.0
FL,GU,OEP,SU,Commercial,200,35209.0
FL,GU,OEP,SU,Personal,200,44160.0
FL,GU,OEP,SU,Total,200,79369.0
FL,GU,OEP,SU,Commercial,250,36007.0
FL,GU,OEP,SU,Personal,250,47181.0
FL,GU,OEP,SU,Total,250,83188.0
FL,GU,OEP,SU,Commercial,500,41791.0
FL,GU,OEP,SU,Personal,500,53580.0
FL,GU,OEP,SU,Total,500,95371.0
FL,GU,OEP,SU,Commercial,1000,54000.0
FL,GU,OEP,SU,Personal,1000,68358.0
FL,GU,OEP,SU,Total,1000,122359.0
FL,GU,AEP,SU,Commercial,5,5151.0
FL,GU,AEP,SU,Personal,5,6741.0
FL,GU,AEP,SU,Total,5,11892.0
FL,GU,AEP,SU,Commercial,10,9658.0
FL,GU,AEP,SU,Personal,10,12582.0
FL,GU,AEP,SU,Total,10,22239.0
FL,GU,AEP,SU,Commercial,20,14904.0
FL,GU,AEP,SU,Personal,20,18570.0
FL,GU,AEP,SU,Total,20,33475.0
FL,GU,AEP,SU,Commercial,25,16400.0
FL,GU,AEP,SU,Personal,25,20935.0
FL,GU,AEP,SU,Total,25,37335.0
FL,GU,AEP,SU,Commercial,50,23262.0
FL,GU,AEP,SU,Personal,50,30167.0
FL,GU,AEP,SU,Total,50,53429.0
FL,GU,AEP,SU,Commercial,100,29853.0
FL,GU,AEP,SU,Personal,100,37125.0
FL,GU,AEP,SU,Total,100,66977.0
FL,GU,AEP,SU,Commercial,200,36802.0
FL,GU,AEP,SU,Personal,200,49179.0
FL,GU,AEP,SU,Total,200,85981.0
FL,GU,AEP,SU,Commercial,250,41740.0
FL,GU,AEP,SU,Personal,250,49351.0
FL,GU,AEP,SU,Total,250,91092.0
FL,GU,AEP,SU,Commercial,500,47046.0
FL,GU,AEP,SU,Personal,500,63040.0
FL,GU,AEP,SU,Total,500,110086.0
FL,GU,AEP,SU,Commercial,1000,56480.0
