Classification,Description,HDv2
COM_ROOFSYS,Fabric membrane,400.8380137
COM_ROOFSYS,Green roof,400.0740358
COM_ROOFSYS,Hail class 1,398.8275954
COM_ROOFSYS,Hail class 2,398.3998237
COM_ROOFSYS,Hail class 3,397.1972956
COM_ROOFSYS,Hail class 4,400.3548214
COM_ROOFSYS,High wind shingle,393.7782846
COM_ROOFSYS,High wind shingle plus SWR,401.0675167
COM_ROOFSYS,Metal concealed fasteners,397.6311232
COM_ROOFSYS,Metal exposed fasteners,397.2548522
COM_ROOFSYS,Metal unknown fasteners,398.1303477
COM_ROOFSYS,Normal shingle,393.9482482
COM_ROOFSYS,Normal shingle plus SWR,398.9606282
COM_ROOFSYS,Rubber roof,394.8073744
COM_ROOFSYS,Slate tile,394.2641513
COM_ROOFSYS,Solar tile,399.3053776
COM_ROOFSYS,Wood shakes,395.693413
COM_TODMGPROVISION,Cosmetic damage Default,495.2387814
COM_TODMGPROVISION,Cosmetic damage Excluded,497.8564316
COM_TODMGPROVISION,Cosmetic damage Fully covered,496.7138458
COM_TODMGPROVISION,Cosmetic damage Mostly covered,502.0354774
COM_TODMGPROVISION,Cosmetic damage Rarely covered,488.4928125
COM_TOFLASHING,Compliant with ES1,494.7727631
COM_TOFLASHING,Not compliant with ES1,487.6055571
COM_TREEDENSITY,High tree risk high shielding,269.6070305
COM_TREEDENSITY,No trees no shielding,267.617508
COM_TREEDENSITY,Some trees some shielding,269.807152
COM_Unknown,Unknown,453.7687839
SFD_ARCHITECT,Attached screen,502.2796135
SFD_ARCHITECT,Detached screen,505.6704079
SFD_ARCHITECT,Fences,506.8210417
SFD_ARCHITECT,None,512.323754
SFD_ARCHITECT,Skylights,511.8604402
SFD_ARCHITECT,Skylights protection,511.2147579
SFD_CLADRATE,10d high wind nail,464.2566583
SFD_CLADRATE,6d any nail,462.0316972
SFD_CLADRATE,8d high wind nail,460.3890218
SFD_CLADRATE,8d minimum nail,463.0317752
SFD_CLADRATE,Batten decking,460.3055182
SFD_CLADRATE,Lumber and groove,465.1511586
SFD_CLADSYS,Brick veneer,474.6320995
SFD_CLADSYS,Concrete block,476.0622371
SFD_CLADSYS,EIFS,476.4191808
SFD_CLADSYS,Impact rated glazing,471.0843464
SFD_CLADSYS,Metal sheathing,488.1069898
SFD_CLADSYS,Stucco,472.6418856
SFD_CLADSYS,Vinyl siding,480.138263
SFD_CLADSYS,Wood,473.5264486
SFD_CONSTQUALI,Signs of distress,416.5911555
SFD_CONSTQUALI,WH Gold existing,417.3967524
SFD_CONSTQUALI,WH Roof existing,417.9850103
SFD_CONSTQUALI,WH Silver existing,420.2497433
SFD_CONSTQUALI,Wind Gold existing,417.838826
SFD_CONSTQUALI,Wind Roof existing,418.000276
SFD_CONSTQUALI,Wind Silver existing,419.016022
SFD_EXTORN,Extensive ornamentation,506.1761174
SFD_EXTORN,Extensive ornamentation and LPS,505.9851005
SFD_EXTORN,Large signs,502.8163161
SFD_EXTORN,Large signs and LPS,505.2673814
SFD_EXTORN,Lightning protection,515.5312407
SFD_FOUNDSYS,Bolted,475.4652239
SFD_FOUNDSYS,Engineered,475.817765
SFD_FOUNDSYS,Unbolted,471.7468283
SFD_GARAGING,Attached garage,421.9165798
SFD_GARAGING,Detached garage,429.0070109
SFD_GARAGING,No garage,424.7210992
SFD_MECHGROUND,Generally protected,467.5688568
SFD_MECHGROUND,Generally unprotected,472.2435459
SFD_RESISTOPEN,All openings pressure large missile rated,485.343887
SFD_RESISTOPEN,All openings pressure medium missile rated,480.3278026
SFD_RESISTOPEN,All openings pressure small missile rated,483.4222664
SFD_RESISTOPEN,Pressure medium missile rated,492.0166222
SFD_RESISTOPEN,Pressure small missile rated,481.1247569
SFD_ROOFAGE,0 to 5 years,270.4760682
SFD_ROOFAGE,11 years or more,275.7360467
SFD_ROOFAGE,6 to 10 years,267.6090532
SFD_ROOFANCH,Clips,272.1669448
SFD_ROOFANCH,Double wraps,266.6996377
SFD_ROOFANCH,Single wraps,268.4357047
SFD_ROOFANCH,Structural,269.8814546
SFD_ROOFANCH,Toenailing no anchorage,272.8168442
SFD_ROOFEQUIP,No equipment present,637.0231066
SFD_ROOFEQUIP,Roof mounted impact resistant array,638.5512327
SFD_ROOFEQUIP,Roof mounted mechanically attached array,637.1941728
SFD_ROOFEQUIP,Roof mounted photovoltaic array,624.3434977
SFD_ROOFGEOM,Braced gable GT6:12,418.9199059
SFD_ROOFGEOM,Braced gable LE6:12,417.9377642
SFD_ROOFGEOM,Complex roof,415.0700444
SFD_ROOFGEOM,Flat roof no parapets,415.5098535
SFD_ROOFGEOM,Flat roof parapets,413.4910323
SFD_ROOFGEOM,Gable roof GT6:12,415.8585821
SFD_ROOFGEOM,Gable roof LE6:12,421.5855738
SFD_ROOFGEOM,Hip roof GT6:12,413.8126445
SFD_ROOFGEOM,Hip roof LE6:12,416.4037689
SFD_ROOFMAINT,Excellent condition,430.1113213
SFD_ROOFMAINT,No deterioration or defects,437.9146264
SFD_ROOFMAINT,Significant signs of distress,437.2196856
SFD_ROOFMAINT,Visible defects,434.9569628
SFD_ROOFSYS,Bermuda style roof,636.0827946
SFD_ROOFSYS,Built up or single ply,632.6068023
SFD_ROOFSYS,Built up unknown gutters,632.4061039
SFD_ROOFSYS,Built up with gutters,633.1936777
SFD_ROOFSYS,Built up without gutters,628.7778886
SFD_ROOFSYS,Concrete roof,642.4377807
SFD_ROOFSYS,Concrete tiles,633.9857597
SFD_ROOFSYS,Fabric membrane,637.658519
SFD_ROOFSYS,Green roof,641.0822747
SFD_ROOFSYS,Hail class 1,624.0043033
SFD_ROOFSYS,Hail class 2,644.062019
SFD_ROOFSYS,Hail class 3,639.8172356
SFD_ROOFSYS,Hail class 4,637.2446619
SFD_ROOFSYS,High wind shingle,647.8185997
SFD_ROOFSYS,High wind shingle plus SWR,629.1979187
SFD_ROOFSYS,Metal concealed fasteners,636.6475131
SFD_ROOFSYS,Metal exposed fasteners,639.5626339
SFD_ROOFSYS,Metal unknown fasteners,634.573109
SFD_ROOFSYS,Normal shingle,636.7292462
SFD_ROOFSYS,Normal shingle plus SWR,628.8326871
SFD_ROOFSYS,Rubber roof,633.7835504
SFD_ROOFSYS,Slate tile,636.3052689
SFD_ROOFSYS,Solar tile,634.3607342
SFD_ROOFSYS,Wood shakes,632.9814038
SFD_TODMGPROVISION,Cosmetic damage Default,497.366315
SFD_TODMGPROVISION,Cosmetic damage Excluded,487.6365957
SFD_TODMGPROVISION,Cosmetic damage Fully covered,493.1062466
SFD_TODMGPROVISION,Cosmetic damage Mostly covered,491.4504186
SFD_TODMGPROVISION,Cosmetic damage Rarely covered,488.7741119
SFD_TOFLASHING,Compliant with ES1,493.1074902
SFD_TOFLASHING,Not compliant with ES1,487.5511169
SFD_TREEDENSITY,High tree risk high shielding,585.994385
SFD_TREEDENSITY,No trees no shielding,590.221929
SFD_TREEDENSITY,Some trees some shielding,595.1880558
SFD_Unknown,Unknown,452.7970253
