STATECODE,Classification,Description,HDv1
AL,COM_ROOFSYS,Metal unknown fasteners,336.368991
AL,COM_ROOFSYS,Wood shakes,320.215724
AL,COM_ROOFSYS,Concrete roof,330.573436
AL,COM_ROOFSYS,Hail class 1,353.237624
AL,COM_ROOFSYS,Hail class 2,333.985382
AL,COM_ROOFSYS,Hail class 3,350.942951
AL,COM_ROOFSYS,Hail class 4,316.286182
AL,COM_ROOFSYS,Rubber roof,342.301923
AL,COM_ROOFSYS,Green roof,313.16894
AL,COM_ROOFSYS,Bermuda style roof,334.813031
AL,COM_ROOFSYS,Concrete tiles,327.382878
AL,COM_ROOFSYS,Slate tile,313.169921
AL,COM_ROOFSYS,Fabric membrane,332.857605
AL,COM_ROOFSYS,Solar tile,355.768328
AL,COM_TODMGPROVISION,Cosmetic damage Fully covered,374.070893
AL,COM_TODMGPROVISION,Cosmetic damage Mostly covered,377.77826
AL,COM_TODMGPROVISION,Cosmetic damage Default,429.817127
AL,COM_TODMGPROVISION,Cosmetic damage Rarely covered,401.167496
AL,COM_TODMGPROVISION,Cosmetic damage Excluded,426.030572
AL,COM_TOFLASHING,Compliant with ES1,366.664677
AL,COM_TOFLASHING,Not compliant with ES1,385.52518
AL,COM_TREEDENSITY,High tree risk high shielding,221.140986
AL,COM_TREEDENSITY,Some trees some shielding,206.574809
AL,COM_TREEDENSITY,No trees no shielding,238.120066
AL,SFD_Unknown,Unknown,481.763377
AL,SFD_ARCHITECT,Attached screen,533.835564
AL,SFD_ARCHITECT,Detached screen,585.848848
AL,SFD_ARCHITECT,Fences,529.64536
AL,SFD_ARCHITECT,None,521.385859
AL,SFD_ARCHITECT,Skylights,508.581179
AL,SFD_ARCHITECT,Skylights protection,508.747399
AL,SFD_CLADRATE,10d high wind nail,460.7931
AL,SFD_CLADRATE,6d any nail,457.234105
AL,SFD_CLADRATE,8d high wind nail,501.648334
AL,SFD_CLADRATE,8d minimum nail,440.889435
AL,SFD_CLADRATE,Batten decking,504.215212
AL,SFD_CLADRATE,Lumber and groove,470.383611
AL,SFD_CLADSYS,Vinyl siding,538.803042
AL,SFD_CLADSYS,EIFS,548.717071
AL,SFD_CLADSYS,Wood,484.281975
AL,SFD_CLADSYS,Metal sheathing,552.995075
AL,SFD_CLADSYS,Impact rated glazing,529.43067
AL,SFD_CLADSYS,Stucco,525.175763
AL,SFD_CLADSYS,Brick veneer,461.023982
AL,SFD_CLADSYS,Concrete block,495.693221
AL,SFD_CONSTQUALI,Signs of distress,439.657319
AL,SFD_CONSTQUALI,WH Roof existing,451.648097
AL,SFD_CONSTQUALI,Wind Roof existing,470.538682
AL,SFD_CONSTQUALI,Wind Gold existing,444.705128
AL,SFD_CONSTQUALI,Wind Silver existing,428.203189
AL,SFD_CONSTQUALI,WH Gold existing,438.078377
AL,SFD_CONSTQUALI,WH Silver existing,396.060894
AL,SFD_EXTORN,Extensive ornamentation,529.463079
AL,SFD_EXTORN,Extensive ornamentation and LPS,507.903862
AL,SFD_EXTORN,Large signs,576.469509
AL,SFD_EXTORN,Large signs and LPS,503.054023
AL,SFD_EXTORN,Lightning protection,573.387213
AL,SFD_FOUNDSYS,Bolted,510.842911
AL,SFD_FOUNDSYS,Engineered,462.293145
AL,SFD_FOUNDSYS,Unbolted,507.947229
AL,SFD_GARAGING,Attached garage,493.599283
AL,SFD_GARAGING,Detached garage,462.836258
AL,SFD_GARAGING,No garage,516.727404
AL,SFD_MECHGROUND,Generally unprotected,517.606378
AL,SFD_MECHGROUND,Generally protected,471.112658
AL,SFD_RESISTOPEN,Pressure small missile rated,523.723452
AL,SFD_RESISTOPEN,Pressure medium missile rated,490.24944
AL,SFD_RESISTOPEN,All openings pressure small missile rated,517.350469
AL,SFD_RESISTOPEN,All openings pressure medium missile rated,543.49232
AL,SFD_RESISTOPEN,All openings pressure large missile rated,480.021796
AL,SFD_ROOFAGE,0 to 5 years,298.393406
AL,SFD_ROOFAGE,6 to 10 years,322.19312
AL,SFD_ROOFAGE,11 years or more,325.650334
AL,SFD_ROOFANCH,Clips,294.561099
AL,SFD_ROOFANCH,Double wraps,310.272362
AL,SFD_ROOFANCH,Single wraps,285.581013
AL,SFD_ROOFANCH,Structural,289.000971
AL,SFD_ROOFANCH,Toenailing no anchorage,275.327327
AL,SFD_ROOFEQUIP,No equipment present,583.630346
AL,SFD_ROOFEQUIP,Roof mounted photovoltaic array,645.968543
AL,SFD_ROOFEQUIP,Roof mounted impact resistant array,693.514839
AL,SFD_ROOFEQUIP,Roof mounted mechanically attached array,581.858351
AL,SFD_ROOFGEOM,Complex roof,405.604572
AL,SFD_ROOFGEOM,Flat roof no parapets,458.313634
AL,SFD_ROOFGEOM,Flat roof parapets,455.256974
AL,SFD_ROOFGEOM,Gable roof LE6:12,475.839894
AL,SFD_ROOFGEOM,Braced gable LE6:12,431.88951
AL,SFD_ROOFGEOM,Gable roof GT6:12,397.793149
AL,SFD_ROOFGEOM,Braced gable GT6:12,447.746483
AL,SFD_ROOFGEOM,Hip roof LE6:12,457.292633
AL,SFD_ROOFGEOM,Hip roof GT6:12,403.247481
AL,SFD_ROOFMAINT,Excellent condition,426.109726
AL,SFD_ROOFMAINT,No deterioration or defects,411.04688
AL,SFD_ROOFMAINT,Visible defects,441.522534
AL,SFD_ROOFMAINT,Significant signs of distress,411.675426
AL,SFD_ROOFSYS,Built up or single ply,627.49465
AL,SFD_ROOFSYS,Built up with gutters,712.313613
AL,SFD_ROOFSYS,Built up without gutters,660.988464
AL,SFD_ROOFSYS,Built up unknown gutters,633.844844
AL,SFD_ROOFSYS,High wind shingle,629.874638
AL,SFD_ROOFSYS,High wind shingle plus SWR,741.26731
AL,SFD_ROOFSYS,Normal shingle,723.881584
AL,SFD_ROOFSYS,Normal shingle plus SWR,732.472759
AL,SFD_ROOFSYS,Metal concealed fasteners,755.278568
AL,SFD_ROOFSYS,Metal exposed fasteners,634.241357
AL,SFD_ROOFSYS,Metal unknown fasteners,633.613423
AL,SFD_ROOFSYS,Wood shakes,730.023983
AL,SFD_ROOFSYS,Concrete roof,728.059876
AL,SFD_ROOFSYS,Hail class 1,621.267522
AL,SFD_ROOFSYS,Hail class 2,727.300844
AL,SFD_ROOFSYS,Hail class 3,720.457051
AL,SFD_ROOFSYS,Hail class 4,706.782092
AL,SFD_ROOFSYS,Rubber roof,686.2238
AL,SFD_ROOFSYS,Green roof,641.548332
AL,SFD_ROOFSYS,Bermuda style roof,621.100215
AL,SFD_ROOFSYS,Concrete tiles,682.303887
AL,SFD_ROOFSYS,Slate tile,687.791976
AL,SFD_ROOFSYS,Fabric membrane,673.642063
AL,SFD_ROOFSYS,Solar tile,683.98573
AL,SFD_TODMGPROVISION,Cosmetic damage Fully covered,470.698263
AL,SFD_TODMGPROVISION,Cosmetic damage Mostly covered,501.643582
AL,SFD_TODMGPROVISION,Cosmetic damage Default,547.93833
AL,SFD_TODMGPROVISION,Cosmetic damage Rarely covered,551.337524
AL,SFD_TODMGPROVISION,Cosmetic damage Excluded,489.550518
AL,SFD_TOFLASHING,Compliant with ES1,537.496818
AL,SFD_TOFLASHING,Not compliant with ES1,537.183559
AL,SFD_TREEDENSITY,High tree risk high shielding,554.941324
AL,SFD_TREEDENSITY,Some trees some shielding,621.450444
AL,SFD_TREEDENSITY,No trees no shielding,549.777493
AR,COM_Unknown,Unknown,699.732038
AR,COM_ARCHITECT,Attached screen,459.087889
AR,COM_ARCHITECT,Detached screen,489.814369
AR,COM_ARCHITECT,Fences,548.193787
AR,COM_ARCHITECT,None,518.04313
AR,COM_ARCHITECT,Skylights,484.539427
AR,COM_ARCHITECT,Skylights protection,530.248233
AR,COM_CLADRATE,10d high wind nail,400.797168
AR,COM_CLADRATE,6d any nail,415.640629
AR,COM_CLADRATE,8d high wind nail,432.691218
AR,COM_CLADRATE,8d minimum nail,428.036487
AR,COM_CLADRATE,Batten decking,428.241333
AR,COM_CLADRATE,Lumber and groove,456.041679
AR,COM_CLADSYS,Vinyl siding,744.130902
AR,COM_CLADSYS,EIFS,809.63331
AR,COM_CLADSYS,Wood,761.152845
AR,COM_CLADSYS,Metal sheathing,803.25134
AR,COM_CLADSYS,Impact rated glazing,784.533398
AR,COM_CLADSYS,Stucco,883.30218
AR,COM_CLADSYS,Brick veneer,787.449787
AR,COM_CLADSYS,Concrete block,761.824823
AR,COM_CONSTQUALI,Signs of distress,566.937863
AR,COM_CONSTQUALI,WH Roof existing,668.540622
AR,COM_CONSTQUALI,Wind Roof existing,613.223216
AR,COM_CONSTQUALI,Wind Gold existing,570.181863
AR,COM_CONSTQUALI,Wind Silver existing,626.286027
AR,COM_CONSTQUALI,WH Gold existing,670.800855
AR,COM_CONSTQUALI,WH Silver existing,632.017011
AR,COM_EXTORN,Extensive ornamentation,463.44038
AR,COM_EXTORN,Extensive ornamentation and LPS,512.626146
AR,COM_EXTORN,Large signs,446.190836
AR,COM_EXTORN,Large signs and LPS,450.898787
AR,COM_EXTORN,Lightning protection,518.533638
AR,COM_FOUNDSYS,Bolted,675.085785
AR,COM_FOUNDSYS,Engineered,733.476601
AR,COM_FOUNDSYS,Unbolted,651.498545
AR,COM_GARAGING,Attached garage,684.80327
AR,COM_GARAGING,Detached garage,695.488535
AR,COM_GARAGING,No garage,686.929873
AR,COM_MECHGROUND,Generally unprotected,376.777936
AR,COM_MECHGROUND,Generally protected,347.895497
AR,COM_RESISTOPEN,Pressure small missile rated,661.160685
AR,COM_RESISTOPEN,Pressure medium missile rated,638.259984
AR,COM_RESISTOPEN,All openings pressure small missile rated,569.804755
AR,COM_RESISTOPEN,All openings pressure medium missile rated,581.894576
AR,COM_RESISTOPEN,All openings pressure large missile rated,662.068127
AR,COM_ROOFAGE,0 to 5 years,1034.610202
AR,COM_ROOFAGE,6 to 10 years,958.282431
AR,COM_ROOFAGE,11 years or more,1036.256329
AR,COM_ROOFANCH,Clips,396.908768
AR,COM_ROOFANCH,Double wraps,343.486665
AR,COM_ROOFANCH,Single wraps,350.592171
AR,COM_ROOFANCH,Structural,336.864131
AR,COM_ROOFANCH,Toenailing no anchorage,345.333431
AR,COM_ROOFEQUIP,No equipment present,457.622335
AR,COM_ROOFEQUIP,Roof mounted photovoltaic array,498.618825
AR,COM_ROOFEQUIP,Roof mounted impact resistant array,504.31535
AR,COM_ROOFEQUIP,Roof mounted mechanically attached array,439.409767
AR,COM_ROOFGEOM,Complex roof,588.92111
AR,COM_ROOFGEOM,Flat roof no parapets,567.998111
AR,COM_ROOFGEOM,Flat roof parapets,570.078894
AR,COM_ROOFGEOM,Gable roof LE6:12,677.890098
AR,COM_ROOFGEOM,Braced gable LE6:12,677.250351
AR,COM_ROOFGEOM,Gable roof GT6:12,572.443399
AR,COM_ROOFGEOM,Braced gable GT6:12,667.28246
AR,COM_ROOFGEOM,Hip roof LE6:12,626.666637
AR,COM_ROOFGEOM,Hip roof GT6:12,604.340438
AR,COM_ROOFMAINT,Excellent condition,357.646794
AR,COM_ROOFMAINT,No deterioration or defects,314.782832
AR,COM_ROOFMAINT,Visible defects,332.4237
AR,COM_ROOFMAINT,Significant signs of distress,355.880415
AR,COM_ROOFSYS,Built up or single ply,662.827945
AR,COM_ROOFSYS,Built up with gutters,586.196682
AR,COM_ROOFSYS,Built up without gutters,621.351889
AR,COM_ROOFSYS,Built up unknown gutters,593.765067
AR,COM_ROOFSYS,High wind shingle,583.318795
AR,COM_ROOFSYS,High wind shingle plus SWR,677.628736
AR,COM_ROOFSYS,Normal shingle,599.443554
AR,COM_ROOFSYS,Normal shingle plus SWR,618.928548
AR,COM_ROOFSYS,Metal concealed fasteners,562.926267
AR,COM_ROOFSYS,Metal exposed fasteners,627.507107
AR,COM_ROOFSYS,Metal unknown fasteners,639.539023
AR,COM_ROOFSYS,Wood shakes,633.574497
AR,COM_ROOFSYS,Concrete roof,599.46989
AR,COM_ROOFSYS,Hail class 1,670.23075
AR,COM_ROOFSYS,Hail class 2,637.303318
AR,COM_ROOFSYS,Hail class 3,597.103748
AR,COM_ROOFSYS,Hail class 4,607.70833
AR,COM_ROOFSYS,Rubber roof,579.396677
AR,COM_ROOFSYS,Green roof,666.679831
AR,COM_ROOFSYS,Bermuda style roof,677.937047
AR,COM_ROOFSYS,Concrete tiles,629.519275
AR,COM_ROOFSYS,Slate tile,600.41598
AR,COM_ROOFSYS,Fabric membrane,683.347016
AR,COM_ROOFSYS,Solar tile,588.639297
AR,COM_TODMGPROVISION,Cosmetic damage Fully covered,710.798042
AR,COM_TODMGPROVISION,Cosmetic damage Mostly covered,769.235168
AR,COM_TODMGPROVISION,Cosmetic damage Default,709.451047
AR,COM_TODMGPROVISION,Cosmetic damage Rarely covered,718.971167
AR,COM_TODMGPROVISION,Cosmetic damage Excluded,737.762642
AR,COM_TOFLASHING,Compliant with ES1,816.933175
AR,COM_TOFLASHING,Not compliant with ES1,728.522895
AR,COM_TREEDENSITY,High tree risk high shielding,431.144826
AR,COM_TREEDENSITY,Some trees some shielding,435.434724
AR,COM_TREEDENSITY,No trees no shielding,384.666939
AR,SFD_Unknown,Unknown,552.999617
AR,SFD_ARCHITECT,Attached screen,648.671718
AR,SFD_ARCHITECT,Detached screen,626.202299
AR,SFD_ARCHITECT,Fences,612.093308
AR,SFD_ARCHITECT,None,588.549863
AR,SFD_ARCHITECT,Skylights,611.588328
AR,SFD_ARCHITECT,Skylights protection,695.962294
AR,SFD_CLADRATE,10d high wind nail,569.60538
AR,SFD_CLADRATE,6d any nail,505.279564
AR,SFD_CLADRATE,8d high wind nail,502.004722
AR,SFD_CLADRATE,8d minimum nail,594.268428
AR,SFD_CLADRATE,Batten decking,535.805137
AR,SFD_CLADRATE,Lumber and groove,538.832164
AR,SFD_CLADSYS,Vinyl siding,588.054163
AR,SFD_CLADSYS,EIFS,551.722886
AR,SFD_CLADSYS,Wood,547.018267
AR,SFD_CLADSYS,Metal sheathing,600.344044
AR,SFD_CLADSYS,Impact rated glazing,553.119244
AR,SFD_CLADSYS,Stucco,614.127955
AR,SFD_CLADSYS,Brick veneer,531.269516
AR,SFD_CLADSYS,Concrete block,615.473153
AR,SFD_CONSTQUALI,Signs of distress,521.724758
AR,SFD_CONSTQUALI,WH Roof existing,512.443322
AR,SFD_CONSTQUALI,Wind Roof existing,490.817674
AR,SFD_CONSTQUALI,Wind Gold existing,508.945297
AR,SFD_CONSTQUALI,Wind Silver existing,446.73793
AR,SFD_CONSTQUALI,WH Gold existing,468.256378
AR,SFD_CONSTQUALI,WH Silver existing,516.660761
AR,SFD_EXTORN,Extensive ornamentation,631.965253
AR,SFD_EXTORN,Extensive ornamentation and LPS,571.768462
AR,SFD_EXTORN,Large signs,616.957849
AR,SFD_EXTORN,Large signs and LPS,646.087409
AR,SFD_EXTORN,Lightning protection,548.936535
AR,SFD_FOUNDSYS,Bolted,627.724488
AR,SFD_FOUNDSYS,Engineered,597.506369
AR,SFD_FOUNDSYS,Unbolted,646.656887
AR,SFD_GARAGING,Attached garage,453.96278
AR,SFD_GARAGING,Detached garage,492.629538
AR,SFD_GARAGING,No garage,516.646261
AR,SFD_MECHGROUND,Generally unprotected,613.344242
AR,SFD_MECHGROUND,Generally protected,530.732863
AR,SFD_RESISTOPEN,Pressure small missile rated,592.122235
AR,SFD_RESISTOPEN,Pressure medium missile rated,603.608003
AR,SFD_RESISTOPEN,All openings pressure small missile rated,554.135753
AR,SFD_RESISTOPEN,All openings pressure medium missile rated,555.601166
AR,SFD_RESISTOPEN,All openings pressure large missile rated,546.542775
AR,SFD_ROOFAGE,0 to 5 years,322.998814
AR,SFD_ROOFAGE,6 to 10 years,310.555363
AR,SFD_ROOFAGE,11 years or more,334.324256
AR,SFD_ROOFANCH,Clips,357.562161
AR,SFD_ROOFANCH,Double wraps,317.917749
AR,SFD_ROOFANCH,Single wraps,326.020632
AR,SFD_ROOFANCH,Structural,300.923635
AR,SFD_ROOFANCH,Toenailing no anchorage,351.98513
AR,SFD_ROOFEQUIP,No equipment present,775.268988
AR,SFD_ROOFEQUIP,Roof mounted photovoltaic array,691.735563
AR,SFD_ROOFEQUIP,Roof mounted impact resistant array,733.641497
AR,SFD_ROOFEQUIP,Roof mounted mechanically attached array,780.34852
AR,SFD_ROOFGEOM,Complex roof,562.312312
AR,SFD_ROOFGEOM,Flat roof no parapets,507.939823
AR,SFD_ROOFGEOM,Flat roof parapets,514.66086
AR,SFD_ROOFGEOM,Gable roof LE6:12,509.100429
AR,SFD_ROOFGEOM,Braced gable LE6:12,480.033843
AR,SFD_ROOFGEOM,Gable roof GT6:12,530.96755
AR,SFD_ROOFGEOM,Braced gable GT6:12,547.916906
AR,SFD_ROOFGEOM,Hip roof LE6:12,571.638414
AR,SFD_ROOFGEOM,Hip roof GT6:12,478.780877
AR,SFD_ROOFMAINT,Excellent condition,527.371583
AR,SFD_ROOFMAINT,No deterioration or defects,597.233842
AR,SFD_ROOFMAINT,Visible defects,569.614998
AR,SFD_ROOFMAINT,Significant signs of distress,543.19962
AR,SFD_ROOFSYS,Built up or single ply,703.587422
AR,SFD_ROOFSYS,Built up with gutters,812.009571
AR,SFD_ROOFSYS,Built up without gutters,751.514187
AR,SFD_ROOFSYS,Built up unknown gutters,825.992843
AR,SFD_ROOFSYS,High wind shingle,780.470143
AR,SFD_ROOFSYS,High wind shingle plus SWR,740.017768
AR,SFD_ROOFSYS,Normal shingle,821.606156
AR,SFD_ROOFSYS,Normal shingle plus SWR,711.669573
AR,SFD_ROOFSYS,Metal concealed fasteners,826.435648
AR,SFD_ROOFSYS,Metal exposed fasteners,740.375755
AR,SFD_ROOFSYS,Metal unknown fasteners,814.191617
AR,SFD_ROOFSYS,Wood shakes,846.901575
AR,SFD_ROOFSYS,Concrete roof,710.09204
AR,SFD_ROOFSYS,Hail class 1,829.885308
AR,SFD_ROOFSYS,Hail class 2,821.806097
AR,SFD_ROOFSYS,Hail class 3,757.164293
AR,SFD_ROOFSYS,Hail class 4,748.240425
AR,SFD_ROOFSYS,Rubber roof,729.229271
AR,SFD_ROOFSYS,Green roof,785.715279
AR,SFD_ROOFSYS,Bermuda style roof,835.107067
AR,SFD_ROOFSYS,Concrete tiles,779.566956
AR,SFD_ROOFSYS,Slate tile,788.439423
AR,SFD_ROOFSYS,Fabric membrane,800.649171
AR,SFD_ROOFSYS,Solar tile,779.594601
AR,SFD_TODMGPROVISION,Cosmetic damage Fully covered,551.761163
AR,SFD_TODMGPROVISION,Cosmetic damage Mostly covered,555.615719
AR,SFD_TODMGPROVISION,Cosmetic damage Default,663.330026
AR,SFD_TODMGPROVISION,Cosmetic damage Rarely covered,643.774093
AR,SFD_TODMGPROVISION,Cosmetic damage Excluded,574.35375
AR,SFD_TOFLASHING,Compliant with ES1,624.871824
AR,SFD_TOFLASHING,Not compliant with ES1,593.528255
AR,SFD_TREEDENSITY,High tree risk high shielding,755.125833
AR,SFD_TREEDENSITY,Some trees some shielding,805.713079
AR,SFD_TREEDENSITY,No trees no shielding,756.067016
AZ,COM_Unknown,Unknown,514.357615
AZ,COM_ARCHITECT,Attached screen,354.186654
AZ,COM_ARCHITECT,Detached screen,392.035064
AZ,COM_ARCHITECT,Fences,374.730441
AZ,COM_ARCHITECT,None,353.455885
AZ,COM_ARCHITECT,Skylights,325.044393
AZ,COM_ARCHITECT,Skylights protection,364.493315
AZ,COM_CLADRATE,10d high wind nail,324.743855
AZ,COM_CLADRATE,6d any nail,320.769813
AZ,COM_CLADRATE,8d high wind nail,323.260167
AZ,COM_CLADRATE,8d minimum nail,293.90502
AZ,COM_CLADRATE,Batten decking,324.458631
AZ,COM_CLADRATE,Lumber and groove,280.830086
AZ,COM_CLADSYS,Vinyl siding,627.361314
AZ,COM_CLADSYS,EIFS,665.085089
AZ,COM_CLADSYS,Wood,617.165908
AZ,COM_CLADSYS,Metal sheathing,610.348
AZ,COM_CLADSYS,Impact rated glazing,553.787809
AZ,COM_CLADSYS,Stucco,664.071842
AZ,COM_CLADSYS,Brick veneer,561.007054
AZ,COM_CLADSYS,Concrete block,557.13681
AZ,COM_CONSTQUALI,Signs of distress,445.607
AZ,COM_CONSTQUALI,WH Roof existing,430.403777
AZ,COM_CONSTQUALI,Wind Roof existing,479.947162
AZ,COM_CONSTQUALI,Wind Gold existing,403.220614
AZ,COM_CONSTQUALI,Wind Silver existing,421.482928
AZ,COM_CONSTQUALI,WH Gold existing,461.454748
AZ,COM_CONSTQUALI,WH Silver existing,420.467639
AZ,COM_EXTORN,Extensive ornamentation,332.338754
AZ,COM_EXTORN,Extensive ornamentation and LPS,376.952632
AZ,COM_EXTORN,Large signs,330.369049
AZ,COM_EXTORN,Large signs and LPS,378.466279
AZ,COM_EXTORN,Lightning protection,343.503072
AZ,COM_FOUNDSYS,Bolted,577.063484
AZ,COM_FOUNDSYS,Engineered,517.091836
AZ,COM_FOUNDSYS,Unbolted,508.695312
AZ,COM_GARAGING,Attached garage,543.411876
AZ,COM_GARAGING,Detached garage,564.563317
AZ,COM_GARAGING,No garage,576.328802
AZ,COM_MECHGROUND,Generally unprotected,293.195943
AZ,COM_MECHGROUND,Generally protected,243.160421
AZ,COM_RESISTOPEN,Pressure small missile rated,462.532384
AZ,COM_RESISTOPEN,Pressure medium missile rated,454.765908
AZ,COM_RESISTOPEN,All openings pressure small missile rated,420.405402
AZ,COM_RESISTOPEN,All openings pressure medium missile rated,391.551905
AZ,COM_RESISTOPEN,All openings pressure large missile rated,419.336001
AZ,COM_ROOFAGE,0 to 5 years,790.543356
AZ,COM_ROOFAGE,6 to 10 years,718.430564
AZ,COM_ROOFAGE,11 years or more,709.872177
AZ,COM_ROOFANCH,Clips,287.395469
AZ,COM_ROOFANCH,Double wraps,266.590885
AZ,COM_ROOFANCH,Single wraps,281.200926
AZ,COM_ROOFANCH,Structural,247.564505
AZ,COM_ROOFANCH,Toenailing no anchorage,253.796773
AZ,COM_ROOFEQUIP,No equipment present,389.501065
AZ,COM_ROOFEQUIP,Roof mounted photovoltaic array,394.463819
AZ,COM_ROOFEQUIP,Roof mounted impact resistant array,364.711677
AZ,COM_ROOFEQUIP,Roof mounted mechanically attached array,377.768723
AZ,COM_ROOFGEOM,Complex roof,511.933633
AZ,COM_ROOFGEOM,Flat roof no parapets,464.124762
AZ,COM_ROOFGEOM,Flat roof parapets,436.110254
AZ,COM_ROOFGEOM,Gable roof LE6:12,486.97876
AZ,COM_ROOFGEOM,Braced gable LE6:12,498.36933
AZ,COM_ROOFGEOM,Gable roof GT6:12,435.640577
AZ,COM_ROOFGEOM,Braced gable GT6:12,456.080187
AZ,COM_ROOFGEOM,Hip roof LE6:12,485.916447
AZ,COM_ROOFGEOM,Hip roof GT6:12,499.062482
AZ,COM_ROOFMAINT,Excellent condition,266.402865
AZ,COM_ROOFMAINT,No deterioration or defects,271.294781
AZ,COM_ROOFMAINT,Visible defects,280.369898
AZ,COM_ROOFMAINT,Significant signs of distress,286.839009
AZ,COM_ROOFSYS,Built up or single ply,420.592379
AZ,COM_ROOFSYS,Built up with gutters,461.810489
AZ,COM_ROOFSYS,Built up without gutters,447.746055
AZ,COM_ROOFSYS,Built up unknown gutters,493.439763
AZ,COM_ROOFSYS,High wind shingle,489.82857
AZ,COM_ROOFSYS,High wind shingle plus SWR,426.218484
AZ,COM_ROOFSYS,Normal shingle,481.174785
AZ,COM_ROOFSYS,Normal shingle plus SWR,437.105119
