"LOCNUM","LOCNAME","STATECODE","COUNTY","CC_OCC_HT_YB_FA","HDv1","RLv25","Classification","Description"
24,"vulsens_AK_24","AK","AK_COUNTY","RMS_KEY_CC_COM_Wood",528,493,"CC_COM","Wood"
25,"vulsens_AK_25","AK","AK_COUNTY","RMS_KEY_CC_COM_Unk",334,240,"CC_COM","Unk"
26,"vulsens_AK_26","AK","AK_COUNTY","RMS_KEY_CC_COM_Unk",185,174,"CC_COM","Unk"
27,"vulsens_AK_27","AK","AK_COUNTY","RMS_KEY_CC_COM_Masonry",352,590,"CC_COM","Masonry"
28,"vulsens_AK_28","AK","AK_COUNTY","RMS_KEY_CC_COM_Masonry",1116,711,"CC_COM","Masonry"
29,"vulsens_AK_29","AK","AK_COUNTY","RMS_KEY_CC_COM_Steel",687,457,"CC_COM","Steel"
30,"vulsens_AK_30","AK","AK_COUNTY","RMS_KEY_CC_COM_Steel",187,170,"CC_COM","Steel"
31,"vulsens_AK_31","AK","AK_COUNTY","RMS_KEY_CC_COM_RC",190,174,"CC_COM","RC"
32,"vulsens_AK_32","AK","AK_COUNTY","RMS_KEY_CC_COM_RC",830,1163,"CC_COM","RC"
33,"vulsens_AK_33","AK","AK_COUNTY","RMS_KEY_HT_SFD_1",545,672,"HT_SFD","1"
34,"vulsens_AK_34","AK","AK_COUNTY","RMS_KEY_HT_SFD_1",140,166,"HT_SFD","1"
35,"vulsens_AK_35","AK","AK_COUNTY","RMS_KEY_HT_SFD_Unk",898,554,"HT_SFD","Unk"
36,"vulsens_AK_36","AK","AK_COUNTY","RMS_KEY_HT_SFD_Unk",509,321,"HT_SFD","Unk"
37,"vulsens_AK_37","AK","AK_COUNTY","RMS_KEY_HT_SFD_2",639,305,"HT_SFD","2"
38,"vulsens_AK_38","AK","AK_COUNTY","RMS_KEY_HT_SFD_2",391,547,"HT_SFD","2"
39,"vulsens_AK_39","AK","AK_COUNTY","RMS_KEY_HT_COM_1",865,409,"HT_COM","1"
40,"vulsens_AK_40","AK","AK_COUNTY","RMS_KEY_HT_COM_1",143,185,"HT_COM","1"
41,"vulsens_AK_41","AK","AK_COUNTY","RMS_KEY_HT_COM_3",434,431,"HT_COM","3"
42,"vulsens_AK_42","AK","AK_COUNTY","RMS_KEY_HT_COM_3",1033,1097,"HT_COM","3"
43,"vulsens_AK_43","AK","AK_COUNTY","RMS_KEY_HT_COM_Unk",206,211,"HT_COM","Unk"
44,"vulsens_AK_44","AK","AK_COUNTY","RMS_KEY_HT_COM_Unk",368,438,"HT_COM","Unk"
45,"vulsens_AK_45","AK","AK_COUNTY","RMS_KEY_HT_COM_5",651,457,"HT_COM","5"
46,"vulsens_AK_46","AK","AK_COUNTY","RMS_KEY_HT_COM_5",591,343,"HT_COM","5"
47,"vulsens_AK_47","AK","AK_COUNTY","RMS_KEY_HT_COM_7",312,341,"HT_COM","7"
48,"vulsens_AK_48","AK","AK_COUNTY","RMS_KEY_HT_COM_7",388,467,"HT_COM","7"
49,"vulsens_AK_49","AK","AK_COUNTY","RMS_KEY_HT_COM_10",776,596,"HT_COM","10"
50,"vulsens_AK_50","AK","AK_COUNTY","RMS_KEY_HT_COM_10",381,309,"HT_COM","10"
51,"vulsens_AK_51","AK","AK_COUNTY","RMS_KEY_HT_COM_15",341,509,"HT_COM","15"
52,"vulsens_AK_52","AK","AK_COUNTY","RMS_KEY_HT_COM_15",957,513,"HT_COM","15"
53,"vulsens_AK_53","AK","AK_COUNTY","RMS_KEY_HT_COM_20",157,183,"HT_COM","20"
54,"vulsens_AK_54","AK","AK_COUNTY","RMS_KEY_HT_COM_20",945,479,"HT_COM","20"
55,"vulsens_AK_55","AK","AK_COUNTY","RMS_KEY_YB_<1995",1132,926,"YB","<1995"
56,"vulsens_AK_56","AK","AK_COUNTY","RMS_KEY_YB_<1995",659,372,"YB","<1995"
57,"vulsens_AK_57","AK","AK_COUNTY","RMS_KEY_YB_Unk",488,289,"YB","Unk"
58,"vulsens_AK_58","AK","AK_COUNTY","RMS_KEY_YB_Unk",246,206,"YB","Unk"
59,"vulsens_AK_59","AK","AK_COUNTY","RMS_KEY_YB_1995",575,491,"YB","1995"
60,"vulsens_AK_60","AK","AK_COUNTY","RMS_KEY_YB_1995",291,271,"YB","1995"
61,"vulsens_AK_61","AK","AK_COUNTY","RMS_KEY_YB_2000",894,660,"YB","2000"
62,"vulsens_AK_62","AK","AK_COUNTY","RMS_KEY_YB_2000",1190,923,"YB","2000"
63,"vulsens_AK_63","AK","AK_COUNTY","RMS_KEY_YB_2005",568,425,"YB","2005"
64,"vulsens_AK_64","AK","AK_COUNTY","RMS_KEY_YB_2005",1499,986,"YB","2005"
65,"vulsens_AK_65","AK","AK_COUNTY","RMS_KEY_YB_2010",547,309,"YB","2010"
66,"vulsens_AK_66","AK","AK_COUNTY","RMS_KEY_YB_2010",409,390,"YB","2010"
67,"vulsens_AK_67","AK","AK_COUNTY","RMS_KEY_YB_2015",588,411,"YB","2015"
68,"vulsens_AK_68","AK","AK_COUNTY","RMS_KEY_YB_2015",259,282,"YB","2015"
92,"vulsens_AK_92","AK","AK_COUNTY","RMS_KEY_OCC_SFD",433,475,"OCC","SFD"
93,"vulsens_AK_93","AK","AK_COUNTY","RMS_KEY_OCC_MFD",530,347,"OCC","MFD"
94,"vulsens_AK_94","AK","AK_COUNTY","RMS_KEY_OCC_MFD",355,419,"OCC","MFD"
95,"vulsens_AK_95","AK","AK_COUNTY","RMS_KEY_OCC_COM",647,477,"OCC","COM"
96,"vulsens_AK_96","AK","AK_COUNTY","RMS_KEY_OCC_COM",616,500,"OCC","COM"
97,"vulsens_AK_97","AK","AK_COUNTY","RMS_KEY_OCC_Unk",221,204,"OCC","Unk"
98,"vulsens_AK_98","AK","AK_COUNTY","RMS_KEY_OCC_Unk",167,197,"OCC","Unk"
99,"vulsens_AK_99","AK","AK_COUNTY","RMS_KEY_OCC_IND",722,577,"OCC","IND"
100,"vulsens_AK_100","AK","AK_COUNTY","RMS_KEY_OCC_IND",502,265,"OCC","IND"
1,"vulsens_AL_1","AL","AL_COUNTY","RMS_KEY_CC_Auto",814,438,"CC","Auto"
2,"vulsens_AL_2","AL","AL_COUNTY","RMS_KEY_CC_Auto",369,381,"CC","Auto"
3,"vulsens_AL_3","AL","AL_COUNTY","RMS_KEY_CC_MH",493,458,"CC","MH"
4,"vulsens_AL_4","AL","AL_COUNTY","RMS_KEY_CC_MH",571,464,"CC","MH"
5,"vulsens_AL_5","AL","AL_COUNTY","RMS_KEY_CC_LM",289,176,"CC","LM"
6,"vulsens_AL_6","AL","AL_COUNTY","RMS_KEY_CC_LM",264,275,"CC","LM"
7,"vulsens_AL_7","AL","AL_COUNTY","RMS_KEY_CC_Wood",355,405,"CC","Wood"
8,"vulsens_AL_8","AL","AL_COUNTY","RMS_KEY_CC_Wood",978,738,"CC","Wood"
9,"vulsens_AL_9","AL","AL_COUNTY","RMS_KEY_CC_Unk",147,179,"CC","Unk"
10,"vulsens_AL_10","AL","AL_COUNTY","RMS_KEY_CC_Unk",668,552,"CC","Unk"
11,"vulsens_AL_11","AL","AL_COUNTY","RMS_KEY_CC_Masonry",602,532,"CC","Masonry"
12,"vulsens_AL_12","AL","AL_COUNTY","RMS_KEY_CC_Masonry",651,308,"CC","Masonry"
13,"vulsens_AL_13","AL","AL_COUNTY","RMS_KEY_CC_Steel",607,307,"CC","Steel"
14,"vulsens_AL_14","AL","AL_COUNTY","RMS_KEY_CC_Steel",311,207,"CC","Steel"
15,"vulsens_AL_15","AL","AL_COUNTY","RMS_KEY_CC_RC",846,520,"CC","RC"
16,"vulsens_AL_16","AL","AL_COUNTY","RMS_KEY_CC_RC",495,364,"CC","RC"
17,"vulsens_AL_17","AL","AL_COUNTY","RMS_KEY_CC_COM_Auto",751,464,"CC_COM","Auto"
18,"vulsens_AL_18","AL","AL_COUNTY","RMS_KEY_CC_COM_Auto",830,507,"CC_COM","Auto"
19,"vulsens_AL_19","AL","AL_COUNTY","RMS_KEY_CC_COM_MH",533,378,"CC_COM","MH"
20,"vulsens_AL_20","AL","AL_COUNTY","RMS_KEY_CC_COM_MH",471,515,"CC_COM","MH"
21,"vulsens_AL_21","AL","AL_COUNTY","RMS_KEY_CC_COM_LM",646,683,"CC_COM","LM"
22,"vulsens_AL_22","AL","AL_COUNTY","RMS_KEY_CC_COM_LM",374,193,"CC_COM","LM"
23,"vulsens_AL_23","AL","AL_COUNTY","RMS_KEY_CC_COM_Wood",237,154,"CC_COM","Wood"
24,"vulsens_AL_24","AL","AL_COUNTY","RMS_KEY_CC_COM_Wood",507,447,"CC_COM","Wood"
25,"vulsens_AL_25","AL","AL_COUNTY","RMS_KEY_CC_COM_Unk",312,247,"CC_COM","Unk"
26,"vulsens_AL_26","AL","AL_COUNTY","RMS_KEY_CC_COM_Unk",160,147,"CC_COM","Unk"
27,"vulsens_AL_27","AL","AL_COUNTY","RMS_KEY_CC_COM_Masonry",390,570,"CC_COM","Masonry"
28,"vulsens_AL_28","AL","AL_COUNTY","RMS_KEY_CC_COM_Masonry",1094,694,"CC_COM","Masonry"
29,"vulsens_AL_29","AL","AL_COUNTY","RMS_KEY_CC_COM_Steel",671,487,"CC_COM","Steel"
30,"vulsens_AL_30","AL","AL_COUNTY","RMS_KEY_CC_COM_Steel",229,164,"CC_COM","Steel"
31,"vulsens_AL_31","AL","AL_COUNTY","RMS_KEY_CC_COM_RC",204,151,"CC_COM","RC"
32,"vulsens_AL_32","AL","AL_COUNTY","RMS_KEY_CC_COM_RC",828,1154,"CC_COM","RC"
33,"vulsens_AL_33","AL","AL_COUNTY","RMS_KEY_HT_SFD_1",541,664,"HT_SFD","1"
34,"vulsens_AL_34","AL","AL_COUNTY","RMS_KEY_HT_SFD_1",156,108,"HT_SFD","1"
35,"vulsens_AL_35","AL","AL_COUNTY","RMS_KEY_HT_SFD_Unk",899,535,"HT_SFD","Unk"
36,"vulsens_AL_36","AL","AL_COUNTY","RMS_KEY_HT_SFD_Unk",533,292,"HT_SFD","Unk"
37,"vulsens_AL_37","AL","AL_COUNTY","RMS_KEY_HT_SFD_2",646,339,"HT_SFD","2"
38,"vulsens_AL_38","AL","AL_COUNTY","RMS_KEY_HT_SFD_2",396,565,"HT_SFD","2"
39,"vulsens_AL_39","AL","AL_COUNTY","RMS_KEY_HT_COM_1",857,413,"HT_COM","1"
40,"vulsens_AL_40","AL","AL_COUNTY","RMS_KEY_HT_COM_1",153,170,"HT_COM","1"
41,"vulsens_AL_41","AL","AL_COUNTY","RMS_KEY_HT_COM_3",446,399,"HT_COM","3"
42,"vulsens_AL_42","AL","AL_COUNTY","RMS_KEY_HT_COM_3",989,1066,"HT_COM","3"
43,"vulsens_AL_43","AL","AL_COUNTY","RMS_KEY_HT_COM_Unk",169,219,"HT_COM","Unk"
44,"vulsens_AL_44","AL","AL_COUNTY","RMS_KEY_HT_COM_Unk",436,423,"HT_COM","Unk"
45,"vulsens_AL_45","AL","AL_COUNTY","RMS_KEY_HT_COM_5",687,447,"HT_COM","5"
46,"vulsens_AL_46","AL","AL_COUNTY","RMS_KEY_HT_COM_5",593,330,"HT_COM","5"
47,"vulsens_AL_47","AL","AL_COUNTY","RMS_KEY_HT_COM_7",260,335,"HT_COM","7"
48,"vulsens_AL_48","AL","AL_COUNTY","RMS_KEY_HT_COM_7",353,495,"HT_COM","7"
49,"vulsens_AL_49","AL","AL_COUNTY","RMS_KEY_HT_COM_10",797,583,"HT_COM","10"
50,"vulsens_AL_50","AL","AL_COUNTY","RMS_KEY_HT_COM_10",368,347,"HT_COM","10"
51,"vulsens_AL_51","AL","AL_COUNTY","RMS_KEY_HT_COM_15",354,496,"HT_COM","15"
52,"vulsens_AL_52","AL","AL_COUNTY","RMS_KEY_HT_COM_15",966,486,"HT_COM","15"
53,"vulsens_AL_53","AL","AL_COUNTY","RMS_KEY_HT_COM_20",172,187,"HT_COM","20"
54,"vulsens_AL_54","AL","AL_COUNTY","RMS_KEY_HT_COM_20",984,506,"HT_COM","20"
55,"vulsens_AL_55","AL","AL_COUNTY","RMS_KEY_YB_<1995",1094,932,"YB","<1995"
56,"vulsens_AL_56","AL","AL_COUNTY","RMS_KEY_YB_<1995",690,369,"YB","<1995"
57,"vulsens_AL_57","AL","AL_COUNTY","RMS_KEY_YB_Unk",455,248,"YB","Unk"
58,"vulsens_AL_58","AL","AL_COUNTY","RMS_KEY_YB_Unk",253,169,"YB","Unk"
59,"vulsens_AL_59","AL","AL_COUNTY","RMS_KEY_YB_1995",552,511,"YB","1995"
60,"vulsens_AL_60","AL","AL_COUNTY","RMS_KEY_YB_1995",305,219,"YB","1995"
61,"vulsens_AL_61","AL","AL_COUNTY","RMS_KEY_YB_2000",922,654,"YB","2000"
62,"vulsens_AL_62","AL","AL_COUNTY","RMS_KEY_YB_2000",1146,938,"YB","2000"
63,"vulsens_AL_63","AL","AL_COUNTY","RMS_KEY_YB_2005",570,408,"YB","2005"
64,"vulsens_AL_64","AL","AL_COUNTY","RMS_KEY_YB_2005",1493,960,"YB","2005"
65,"vulsens_AL_65","AL","AL_COUNTY","RMS_KEY_YB_2010",551,303,"YB","2010"
66,"vulsens_AL_66","AL","AL_COUNTY","RMS_KEY_YB_2010",441,322,"YB","2010"
67,"vulsens_AL_67","AL","AL_COUNTY","RMS_KEY_YB_2015",608,408,"YB","2015"
68,"vulsens_AL_68","AL","AL_COUNTY","RMS_KEY_YB_2015",248,250,"YB","2015"
92,"vulsens_AL_92","AL","AL_COUNTY","RMS_KEY_OCC_SFD",429,439,"OCC","SFD"
93,"vulsens_AL_93","AL","AL_COUNTY","RMS_KEY_OCC_MFD",557,332,"OCC","MFD"
94,"vulsens_AL_94","AL","AL_COUNTY","RMS_KEY_OCC_MFD",352,448,"OCC","MFD"
95,"vulsens_AL_95","AL","AL_COUNTY","RMS_KEY_OCC_COM",600,538,"OCC","COM"
96,"vulsens_AL_96","AL","AL_COUNTY","RMS_KEY_OCC_COM",650,495,"OCC","COM"
97,"vulsens_AL_97","AL","AL_COUNTY","RMS_KEY_OCC_Unk",221,229,"OCC","Unk"
98,"vulsens_AL_98","AL","AL_COUNTY","RMS_KEY_OCC_Unk",135,205,"OCC","Unk"
99,"vulsens_AL_99","AL","AL_COUNTY","RMS_KEY_OCC_IND",763,624,"OCC","IND"
100,"vulsens_AL_100","AL","AL_COUNTY","RMS_KEY_OCC_IND",457,241,"OCC","IND"
1,"vulsens_AR_1","AR","AR_COUNTY","RMS_KEY_CC_Auto",835,458,"CC","Auto"
2,"vulsens_AR_2","AR","AR_COUNTY","RMS_KEY_CC_Auto",366,372,"CC","Auto"
3,"vulsens_AR_3","AR","AR_COUNTY","RMS_KEY_CC_MH",440,452,"CC","MH"
4,"vulsens_AR_4","AR","AR_COUNTY","RMS_KEY_CC_MH",594,478,"CC","MH"
5,"vulsens_AR_5","AR","AR_COUNTY","RMS_KEY_CC_LM",301,144,"CC","LM"
6,"vulsens_AR_6","AR","AR_COUNTY","RMS_KEY_CC_LM",264,299,"CC","LM"
7,"vulsens_AR_7","AR","AR_COUNTY","RMS_KEY_CC_Wood",347,409,"CC","Wood"
8,"vulsens_AR_8","AR","AR_COUNTY","RMS_KEY_CC_Wood",1026,718,"CC","Wood"
9,"vulsens_AR_9","AR","AR_COUNTY","RMS_KEY_CC_Unk",201,185,"CC","Unk"
10,"vulsens_AR_10","AR","AR_COUNTY","RMS_KEY_CC_Unk",671,579,"CC","Unk"
11,"vulsens_AR_11","AR","AR_COUNTY","RMS_KEY_CC_Masonry",552,512,"CC","Masonry"
12,"vulsens_AR_12","AR","AR_COUNTY","RMS_KEY_CC_Masonry",639,332,"CC","Masonry"
13,"vulsens_AR_13","AR","AR_COUNTY","RMS_KEY_CC_Steel",595,268,"CC","Steel"
14,"vulsens_AR_14","AR","AR_COUNTY","RMS_KEY_CC_Steel",312,209,"CC","Steel"
15,"vulsens_AR_15","AR","AR_COUNTY","RMS_KEY_CC_RC",891,514,"CC","RC"
16,"vulsens_AR_16","AR","AR_COUNTY","RMS_KEY_CC_RC",452,392,"CC","RC"
17,"vulsens_AR_17","AR","AR_COUNTY","RMS_KEY_CC_COM_Auto",748,448,"CC_COM","Auto"
18,"vulsens_AR_18","AR","AR_COUNTY","RMS_KEY_CC_COM_Auto",864,479,"CC_COM","Auto"
19,"vulsens_AR_19","AR","AR_COUNTY","RMS_KEY_CC_COM_MH",519,379,"CC_COM","MH"
20,"vulsens_AR_20","AR","AR_COUNTY","RMS_KEY_CC_COM_MH",486,467,"CC_COM","MH"
21,"vulsens_AR_21","AR","AR_COUNTY","RMS_KEY_CC_COM_LM",694,639,"CC_COM","LM"
22,"vulsens_AR_22","AR","AR_COUNTY","RMS_KEY_CC_COM_LM",380,181,"CC_COM","LM"
23,"vulsens_AR_23","AR","AR_COUNTY","RMS_KEY_CC_COM_Wood",272,187,"CC_COM","Wood"
24,"vulsens_AR_24","AR","AR_COUNTY","RMS_KEY_CC_COM_Wood",538,439,"CC_COM","Wood"
25,"vulsens_AR_25","AR","AR_COUNTY","RMS_KEY_CC_COM_Unk",343,272,"CC_COM","Unk"
26,"vulsens_AR_26","AR","AR_COUNTY","RMS_KEY_CC_COM_Unk",183,128,"CC_COM","Unk"
27,"vulsens_AR_27","AR","AR_COUNTY","RMS_KEY_CC_COM_Masonry",406,579,"CC_COM","Masonry"
28,"vulsens_AR_28","AR","AR_COUNTY","RMS_KEY_CC_COM_Masonry",1083,724,"CC_COM","Masonry"
29,"vulsens_AR_29","AR","AR_COUNTY","RMS_KEY_CC_COM_Steel",692,500,"CC_COM","Steel"
30,"vulsens_AR_30","AR","AR_COUNTY","RMS_KEY_CC_COM_Steel",232,174,"CC_COM","Steel"
31,"vulsens_AR_31","AR","AR_COUNTY","RMS_KEY_CC_COM_RC",221,186,"CC_COM","RC"
32,"vulsens_AR_32","AR","AR_COUNTY","RMS_KEY_CC_COM_RC",812,1181,"CC_COM","RC"
33,"vulsens_AR_33","AR","AR_COUNTY","RMS_KEY_HT_SFD_1",506,617,"HT_SFD","1"
34,"vulsens_AR_34","AR","AR_COUNTY","RMS_KEY_HT_SFD_1",111,104,"HT_SFD","1"
35,"vulsens_AR_35","AR","AR_COUNTY","RMS_KEY_HT_SFD_Unk",887,529,"HT_SFD","Unk"
36,"vulsens_AR_36","AR","AR_COUNTY","RMS_KEY_HT_SFD_Unk",522,315,"HT_SFD","Unk"
37,"vulsens_AR_37","AR","AR_COUNTY","RMS_KEY_HT_SFD_2",642,367,"HT_SFD","2"
38,"vulsens_AR_38","AR","AR_COUNTY","RMS_KEY_HT_SFD_2",408,568,"HT_SFD","2"
39,"vulsens_AR_39","AR","AR_COUNTY","RMS_KEY_HT_COM_1",851,408,"HT_COM","1"
40,"vulsens_AR_40","AR","AR_COUNTY","RMS_KEY_HT_COM_1",141,138,"HT_COM","1"
41,"vulsens_AR_41","AR","AR_COUNTY","RMS_KEY_HT_COM_3",481,413,"HT_COM","3"
42,"vulsens_AR_42","AR","AR_COUNTY","RMS_KEY_HT_COM_3",1008,1077,"HT_COM","3"
43,"vulsens_AR_43","AR","AR_COUNTY","RMS_KEY_HT_COM_Unk",164,237,"HT_COM","Unk"
44,"vulsens_AR_44","AR","AR_COUNTY","RMS_KEY_HT_COM_Unk",391,397,"HT_COM","Unk"
45,"vulsens_AR_45","AR","AR_COUNTY","RMS_KEY_HT_COM_5",645,476,"HT_COM","5"
46,"vulsens_AR_46","AR","AR_COUNTY","RMS_KEY_HT_COM_5",574,319,"HT_COM","5"
47,"vulsens_AR_47","AR","AR_COUNTY","RMS_KEY_HT_COM_7",271,335,"HT_COM","7"
48,"vulsens_AR_48","AR","AR_COUNTY","RMS_KEY_HT_COM_7",360,466,"HT_COM","7"
49,"vulsens_AR_49","AR","AR_COUNTY","RMS_KEY_HT_COM_10",779,580,"HT_COM","10"
50,"vulsens_AR_50","AR","AR_COUNTY","RMS_KEY_HT_COM_10",374,354,"HT_COM","10"
51,"vulsens_AR_51","AR","AR_COUNTY","RMS_KEY_HT_COM_15",367,468,"HT_COM","15"
52,"vulsens_AR_52","AR","AR_COUNTY","RMS_KEY_HT_COM_15",971,449,"HT_COM","15"
53,"vulsens_AR_53","AR","AR_COUNTY","RMS_KEY_HT_COM_20",161,197,"HT_COM","20"
54,"vulsens_AR_54","AR","AR_COUNTY","RMS_KEY_HT_COM_20",942,494,"HT_COM","20"
55,"vulsens_AR_55","AR","AR_COUNTY","RMS_KEY_YB_<1995",1096,917,"YB","<1995"
56,"vulsens_AR_56","AR","AR_COUNTY","RMS_KEY_YB_<1995",666,378,"YB","<1995"
57,"vulsens_AR_57","AR","AR_COUNTY","RMS_KEY_YB_Unk",465,233,"YB","Unk"
58,"vulsens_AR_58","AR","AR_COUNTY","RMS_KEY_YB_Unk",237,207,"YB","Unk"
59,"vulsens_AR_59","AR","AR_COUNTY","RMS_KEY_YB_1995",569,449,"YB","1995"
60,"vulsens_AR_60","AR","AR_COUNTY","RMS_KEY_YB_1995",299,272,"YB","1995"
61,"vulsens_AR_61","AR","AR_COUNTY","RMS_KEY_YB_2000",900,676,"YB","2000"
62,"vulsens_AR_62","AR","AR_COUNTY","RMS_KEY_YB_2000",1150,921,"YB","2000"
63,"vulsens_AR_63","AR","AR_COUNTY","RMS_KEY_YB_2005",599,436,"YB","2005"
64,"vulsens_AR_64","AR","AR_COUNTY","RMS_KEY_YB_2005",1524,945,"YB","2005"
65,"vulsens_AR_65","AR","AR_COUNTY","RMS_KEY_YB_2010",597,278,"YB","2010"
66,"vulsens_AR_66","AR","AR_COUNTY","RMS_KEY_YB_2010",438,369,"YB","2010"
67,"vulsens_AR_67","AR","AR_COUNTY","RMS_KEY_YB_2015",607,434,"YB","2015"
68,"vulsens_AR_68","AR","AR_COUNTY","RMS_KEY_YB_2015",236,269,"YB","2015"
92,"vulsens_AR_92","AR","AR_COUNTY","RMS_KEY_OCC_SFD",423,422,"OCC","SFD"
93,"vulsens_AR_93","AR","AR_COUNTY","RMS_KEY_OCC_MFD",506,355,"OCC","MFD"
94,"vulsens_AR_94","AR","AR_COUNTY","RMS_KEY_OCC_MFD",334,417,"OCC","MFD"
95,"vulsens_AR_95","AR","AR_COUNTY","RMS_KEY_OCC_COM",649,488,"OCC","COM"
96,"vulsens_AR_96","AR","AR_COUNTY","RMS_KEY_OCC_COM",669,497,"OCC","COM"
97,"vulsens_AR_97","AR","AR_COUNTY","RMS_KEY_OCC_Unk",251,247,"OCC","Unk"
98,"vulsens_AR_98","AR","AR_COUNTY","RMS_KEY_OCC_Unk",172,190,"OCC","Unk"
99,"vulsens_AR_99","AR","AR_COUNTY","RMS_KEY_OCC_IND",749,638,"OCC","IND"
100,"vulsens_AR_100","AR","AR_COUNTY","RMS_KEY_OCC_IND",451,209,"OCC","IND"
1,"vulsens_AZ_1","AZ","AZ_COUNTY","RMS_KEY_CC_Auto",850,490,"CC","Auto"
2,"vulsens_AZ_2","AZ","AZ_COUNTY","RMS_KEY_CC_Auto",415,386,"CC","Auto"
3,"vulsens_AZ_3","AZ","AZ_COUNTY","RMS_KEY_CC_MH",488,438,"CC","MH"
4,"vulsens_AZ_4","AZ","AZ_COUNTY","RMS_KEY_CC_MH",585,455,"CC","MH"
5,"vulsens_AZ_5","AZ","AZ_COUNTY","RMS_KEY_CC_LM",251,175,"CC","LM"
6,"vulsens_AZ_6","AZ","AZ_COUNTY","RMS_KEY_CC_LM",218,269,"CC","LM"
7,"vulsens_AZ_7","AZ","AZ_COUNTY","RMS_KEY_CC_Wood",339,349,"CC","Wood"
8,"vulsens_AZ_8","AZ","AZ_COUNTY","RMS_KEY_CC_Wood",1017,760,"CC","Wood"
9,"vulsens_AZ_9","AZ","AZ_COUNTY","RMS_KEY_CC_Unk",159,155,"CC","Unk"
10,"vulsens_AZ_10","AZ","AZ_COUNTY","RMS_KEY_CC_Unk",652,519,"CC","Unk"
11,"vulsens_AZ_11","AZ","AZ_COUNTY","RMS_KEY_CC_Masonry",612,553,"CC","Masonry"
12,"vulsens_AZ_12","AZ","AZ_COUNTY","RMS_KEY_CC_Masonry",662,300,"CC","Masonry"
13,"vulsens_AZ_13","AZ","AZ_COUNTY","RMS_KEY_CC_Steel",604,301,"CC","Steel"
14,"vulsens_AZ_14","AZ","AZ_COUNTY","RMS_KEY_CC_Steel",333,162,"CC","Steel"
15,"vulsens_AZ_15","AZ","AZ_COUNTY","RMS_KEY_CC_RC",830,502,"CC","RC"
16,"vulsens_AZ_16","AZ","AZ_COUNTY","RMS_KEY_CC_RC",472,358,"CC","RC"
17,"vulsens_AZ_17","AZ","AZ_COUNTY","RMS_KEY_CC_COM_Auto",731,454,"CC_COM","Auto"
18,"vulsens_AZ_18","AZ","AZ_COUNTY","RMS_KEY_CC_COM_Auto",883,467,"CC_COM","Auto"
19,"vulsens_AZ_19","AZ","AZ_COUNTY","RMS_KEY_CC_COM_MH",518,389,"CC_COM","MH"
20,"vulsens_AZ_20","AZ","AZ_COUNTY","RMS_KEY_CC_COM_MH",493,484,"CC_COM","MH"
