"LocationID","LocationName","State","County","CC_OCC_HT_YT_FA","v13","v12","Classification","Description","Region"
31,"vulsens_AZ_31","AZ","AZ_County","AIR_KEY_CC_COM_RC",132,118,"CC_COM","RC","West"
32,"vulsens_AZ_32","AZ","AZ_County","AIR_KEY_CC_COM_RC",939,969,"CC_COM","RC","West"
33,"vulsens_AZ_33","AZ","AZ_County","AIR_KEY_HT_SFD_1",666,624,"HT_SFD","1","West"
34,"vulsens_AZ_34","AZ","AZ_County","AIR_KEY_HT_SFD_1",181,132,"HT_SFD","1","West"
35,"vulsens_AZ_35","AZ","AZ_County","AIR_KEY_HT_SFD_Unk",459,634,"HT_SFD","Unk","West"
36,"vulsens_AZ_36","AZ","AZ_County","AIR_KEY_HT_SFD_Unk",464,293,"HT_SFD","Unk","West"
37,"vulsens_AZ_37","AZ","AZ_County","AIR_KEY_HT_SFD_2",298,445,"HT_SFD","2","West"
38,"vulsens_AZ_38","AZ","AZ_County","AIR_KEY_HT_SFD_2",681,395,"HT_SFD","2","West"
39,"vulsens_AZ_39","AZ","AZ_County","AIR_KEY_HT_COM_1",732,454,"HT_COM","1","West"
40,"vulsens_AZ_40","AZ","AZ_County","AIR_KEY_HT_COM_1",201,174,"HT_COM","1","West"
41,"vulsens_AZ_41","AZ","AZ_County","AIR_KEY_HT_COM_3",486,495,"HT_COM","3","West"
42,"vulsens_AZ_42","AZ","AZ_County","AIR_KEY_HT_COM_3",1127,1085,"HT_COM","3","West"
43,"vulsens_AZ_43","AZ","AZ_County","AIR_KEY_HT_COM_Unk",352,192,"HT_COM","Unk","West"
44,"vulsens_AZ_44","AZ","AZ_County","AIR_KEY_HT_COM_Unk",352,417,"HT_COM","Unk","West"
45,"vulsens_AZ_45","AZ","AZ_County","AIR_KEY_HT_COM_5",520,654,"HT_COM","5","West"
46,"vulsens_AZ_46","AZ","AZ_County","AIR_KEY_HT_COM_5",635,548,"HT_COM","5","West"
47,"vulsens_AZ_47","AZ","AZ_County","AIR_KEY_HT_COM_7",341,309,"HT_COM","7","West"
48,"vulsens_AZ_48","AZ","AZ_County","AIR_KEY_HT_COM_7",398,347,"HT_COM","7","West"
49,"vulsens_AZ_49","AZ","AZ_County","AIR_KEY_HT_COM_10",585,464,"HT_COM","10","West"
50,"vulsens_AZ_50","AZ","AZ_County","AIR_KEY_HT_COM_10",302,194,"HT_COM","10","West"
51,"vulsens_AZ_51","AZ","AZ_County","AIR_KEY_HT_COM_15",404,287,"HT_COM","15","West"
52,"vulsens_AZ_52","AZ","AZ_County","AIR_KEY_HT_COM_15",491,532,"HT_COM","15","West"
53,"vulsens_AZ_53","AZ","AZ_County","AIR_KEY_HT_COM_20",340,246,"HT_COM","20","West"
54,"vulsens_AZ_54","AZ","AZ_County","AIR_KEY_HT_COM_20",1075,699,"HT_COM","20","West"
55,"vulsens_AZ_55","AZ","AZ_County","AIR_KEY_YB_<1995",605,766,"YB","<1995","West"
56,"vulsens_AZ_56","AZ","AZ_County","AIR_KEY_YB_<1995",333,316,"YB","<1995","West"
57,"vulsens_AZ_57","AZ","AZ_County","AIR_KEY_YB_Unk",252,253,"YB","Unk","West"
58,"vulsens_AZ_58","AZ","AZ_County","AIR_KEY_YB_Unk",320,264,"YB","Unk","West"
59,"vulsens_AZ_59","AZ","AZ_County","AIR_KEY_YB_1995",400,334,"YB","1995","West"
60,"vulsens_AZ_60","AZ","AZ_County","AIR_KEY_YB_1995",314,330,"YB","1995","West"
61,"vulsens_AZ_61","AZ","AZ_County","AIR_KEY_YB_2000",1013,535,"YB","2000","West"
62,"vulsens_AZ_62","AZ","AZ_County","AIR_KEY_YB_2000",551,715,"YB","2000","West"
63,"vulsens_AZ_63","AZ","AZ_County","AIR_KEY_YB_2005",375,366,"YB","2005","West"
64,"vulsens_AZ_64","AZ","AZ_County","AIR_KEY_YB_2005",1189,572,"YB","2005","West"
65,"vulsens_AZ_65","AZ","AZ_County","AIR_KEY_YB_2010",305,430,"YB","2010","West"
66,"vulsens_AZ_66","AZ","AZ_County","AIR_KEY_YB_2010",199,246,"YB","2010","West"
67,"vulsens_AZ_67","AZ","AZ_County","AIR_KEY_YB_2015",754,518,"YB","2015","West"
68,"vulsens_AZ_68","AZ","AZ_County","AIR_KEY_YB_2015",341,332,"YB","2015","West"
69,"vulsens_AZ_69","AZ","AZ_County","AIR_KEY_YB_2020",915,876,"YB","2020","West"
70,"vulsens_AZ_70","AZ","AZ_County","AIR_KEY_YB_2020",561,362,"YB","2020","West"
71,"vulsens_AZ_71","AZ","AZ_County","AIR_KEY_YB_2025",363,348,"YB","2025","West"
72,"vulsens_AZ_72","AZ","AZ_County","AIR_KEY_YB_2025",438,333,"YB","2025","West"
73,"vulsens_AZ_73","AZ","AZ_County","AIR_KEY_YB_COM_<1995",386,337,"YB_COM","<1995","West"
74,"vulsens_AZ_74","AZ","AZ_County","AIR_KEY_YB_COM_<1995",175,94,"YB_COM","<1995","West"
75,"vulsens_AZ_75","AZ","AZ_County","AIR_KEY_YB_COM_Unk",448,374,"YB_COM","Unk","West"
76,"vulsens_AZ_76","AZ","AZ_County","AIR_KEY_YB_COM_Unk",569,447,"YB_COM","Unk","West"
77,"vulsens_AZ_77","AZ","AZ_County","AIR_KEY_YB_COM_1995",257,344,"YB_COM","1995","West"
78,"vulsens_AZ_78","AZ","AZ_County","AIR_KEY_YB_COM_1995",387,434,"YB_COM","1995","West"
79,"vulsens_AZ_79","AZ","AZ_County","AIR_KEY_YB_COM_2000",309,389,"YB_COM","2000","West"
80,"vulsens_AZ_80","AZ","AZ_County","AIR_KEY_YB_COM_2000",674,382,"YB_COM","2000","West"
81,"vulsens_AZ_81","AZ","AZ_County","AIR_KEY_YB_COM_2005",558,340,"YB_COM","2005","West"
82,"vulsens_AZ_82","AZ","AZ_County","AIR_KEY_YB_COM_2005",1020,759,"YB_COM","2005","West"
83,"vulsens_AZ_83","AZ","AZ_County","AIR_KEY_YB_COM_2010",161,197,"YB_COM","2010","West"
84,"vulsens_AZ_84","AZ","AZ_County","AIR_KEY_YB_COM_2010",461,397,"YB_COM","2010","West"
85,"vulsens_AZ_85","AZ","AZ_County","AIR_KEY_YB_COM_2015",308,392,"YB_COM","2015","West"
86,"vulsens_AZ_86","AZ","AZ_County","AIR_KEY_YB_COM_2015",557,487,"YB_COM","2015","West"
87,"vulsens_AZ_87","AZ","AZ_County","AIR_KEY_YB_COM_2020",647,564,"YB_COM","2020","West"
88,"vulsens_AZ_88","AZ","AZ_County","AIR_KEY_YB_COM_2020",427,544,"YB_COM","2020","West"
89,"vulsens_AZ_89","AZ","AZ_County","AIR_KEY_YB_COM_2025",764,550,"YB_COM","2025","West"
90,"vulsens_AZ_90","AZ","AZ_County","AIR_KEY_YB_COM_2025",732,361,"YB_COM","2025","West"
91,"vulsens_AZ_91","AZ","AZ_County","AIR_KEY_OCC_SFD",358,264,"OCC","SFD","West"
92,"vulsens_AZ_92","AZ","AZ_County","AIR_KEY_OCC_SFD",467,223,"OCC","SFD","West"
93,"vulsens_AZ_93","AZ","AZ_County","AIR_KEY_OCC_MFD",373,295,"OCC","MFD","West"
94,"vulsens_AZ_94","AZ","AZ_County","AIR_KEY_OCC_MFD",315,265,"OCC","MFD","West"
95,"vulsens_AZ_95","AZ","AZ_County","AIR_KEY_OCC_COM",444,496,"OCC","COM","West"
96,"vulsens_AZ_96","AZ","AZ_County","AIR_KEY_OCC_COM",423,318,"OCC","COM","West"
97,"vulsens_AZ_97","AZ","AZ_County","AIR_KEY_OCC_Unk",449,205,"OCC","Unk","West"
98,"vulsens_AZ_98","AZ","AZ_County","AIR_KEY_OCC_Unk",166,169,"OCC","Unk","West"
99,"vulsens_AZ_99","AZ","AZ_County","AIR_KEY_OCC_IND",573,346,"OCC","IND","West"
100,"vulsens_AZ_100","AZ","AZ_County","AIR_KEY_OCC_IND",464,287,"OCC","IND","West"
